Key,Value
zip,94105
sector,Technology
fullTimeEmployees,65595
longBusinessSummary,"salesforce.com, inc. develops enterprise cloud computing solutions with a focus on customer relationship management worldwide. The company offers Sales Cloud to store data, monitor leads and progress, forecast opportunities, and gain insights through analytics and relationship intelligence, as well as deliver quotes, contracts, and invoices. It also provides Service Cloud, which enables companies to deliver personalized customer service and support, as well as a field service solution that enables companies to connect agents, dispatchers, and mobile employees through a centralized platform, which helps to schedule and dispatch work, and track and manage jobs in real-time. In addition, the company offers Marketing Cloud to plan, personalize, and optimize one-to-one customer marketing interactions; and Commerce Cloud, which enables companies to enhance engagement, conversion, revenue, and loyalty from their customers. Further, it provides Customer 360 Platform that offers no-code to pro-code Platform-as-a-Service tools for building, securing, integrating, and managing the business apps; MuleSoft Anypoint Platform enables customers to connect any system, application, data, or device; Quip collaboration platform, which combines documents, spreadsheets, apps, and chat with live CRM data; and Tableau and Einstein Analytics, provides analytical technology to customers. Additionally, the company offers various solutions for financial services, healthcare and life sciences, manufacturing, consumer goods, government, and philanthropy. The company also provides professional services and education services, including instructor-led and online courses; and support and adoption programs. It provides its services through direct sales; and consulting firms, systems integrators, and other partners. salesforce.com, inc. has a strategic partnership with Siemens and Amazon Web Services, Inc. The company was founded in 1999 and is headquartered in San Francisco, California."
city,San Francisco
phone,415 901 7000
state,CA
country,United States
companyOfficers,[]
website,http://www.salesforce.com
maxAge,1
address1,Salesforce Tower
fax,415 901 7040
industry,Softwareâ€”Application
address2,3rd Floor 415 Mission Street
ebitdaMargins,0.15166001
profitMargins,0.09992
grossMargins,0.74336
operatingCashflow,6127000064
revenueGrowth,0.231
operatingMargins,0.04915
ebitda,3569999872
targetLowPrice,211.86
recommendationKey,buy
grossProfits,15814000000
freeCashflow,8517749760
targetMedianPrice,325
currentPrice,302.99
earningsGrowth,-0.804
currentRatio,0.935
returnOnAssets,0.00988
numberOfAnalystOpinions,46
targetMeanPrice,319.93
debtToEquity,28.411
returnOnEquity,0.05006
targetHighPrice,379
totalCash,9649999872
totalDebt,15774000128
totalRevenue,23538999296
totalCashPerShare,9.857
financialCurrency,USD
revenuePerShare,25.558
quickRatio,0.789
recommendationMean,1.8
exchange,NYQ
shortName,Salesforce.com Inc
longName,"salesforce.com, inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,CRM
messageBoardId,finmb_122917
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,12.862
beta3Year,
enterpriseToEbitda,84.804
52WeekChange,0.1936909
morningStarRiskRating,
forwardEps,4.65
revenueQuarterlyGrowth,
sharesOutstanding,979000000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,56.769
sharesShort,17173531
sharesPercentSharesOut,0.0175
fundFamily,
lastFiscalYearEnd,1612051200
heldPercentInstitutions,0.79843
netIncomeToCommon,2352000000
trailingEps,2.497
lastDividendValue,
SandP52WeekChange,0.31795287
priceToBook,5.3372436
heldPercentInsiders,0.03426
nextFiscalYearEnd,1675123200
yield,
mostRecentQuarter,1627689600
shortRatio,3.93
sharesShortPreviousMonthDate,1632960000
floatShares,945890220
beta,1.068051
enterpriseValue,302751219712
priceHint,2
threeYearAverageReturn,
lastSplitDate,1366243200
lastSplitFactor,4:1
legalType,
lastDividendDate,
morningStarOverallRating,
earningsQuarterlyGrowth,-0.796
priceToSalesTrailing12Months,12.6015215
dateShortInterest,1635465600
pegRatio,6.7
ytdReturn,
forwardPE,65.159134
lastCapGain,
shortPercentOfFloat,0.018099999
sharesShortPriorMonth,15043557
impliedSharesOutstanding,
category,
fiveYearAverageReturn,
previousClose,308.02
regularMarketOpen,306.16
twoHundredDayAverage,247.1546
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,306.99
navPrice,
averageDailyVolume10Day,3681960
regularMarketPreviousClose,308.02
fiftyDayAverage,284.1454
trailingAnnualDividendRate,
open,306.16
toCurrency,
averageVolume10days,3681960
expireDate,
algorithm,
dividendRate,
exDividendDate,
circulatingSupply,
startDate,
regularMarketDayLow,299.58
currency,USD
trailingPE,121.341606
regularMarketVolume,4255659
lastMarket,
maxSupply,
openInterest,
marketCap,296627208192
volumeAllCurrencies,
strikePrice,
averageVolume,5370311
dayLow,299.58
ask,0
askSize,900
volume,4255659
fiftyTwoWeekHigh,311.75
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,201.51
bid,0
tradeable,False
dividendYield,
bidSize,900
dayHigh,306.99
regularMarketPrice,302.99
preMarketPrice,
logo_url,https://logo.clearbit.com/salesforce.com
