Key,Value
zip,80202
sector,Technology
fullTimeEmployees,2593
longBusinessSummary,"Palantir Technologies Inc. builds and deploys software platforms for the intelligence community in the United States to assist in counterterrorism investigations and operations. The company provides Palantir Gotham, a software platform for government operatives in the defense and intelligence sectors, which enables users to identify patterns hidden deep within datasets, ranging from signals intelligence sources to reports from confidential informants, as well as facilitates the handoff between analysts and operational users, helping operators plan and execute real-world responses to threats that have been identified within the platform. It also offers Palantir Foundry, a platform that transforms the ways organizations operate by creating a central operating system for their data; and allows individual users to integrate and analyze the data they need in one place. Palantir Technologies Inc. was founded in 2003 and is headquartered in Denver, Colorado."
city,Denver
phone,720 358 3679
state,CO
country,United States
companyOfficers,[]
website,http://www.palantir.com
maxAge,1
address1,1555 Blake Street
industry,Softwareâ€”Infrastructure
address2,Suite 250
ebitdaMargins,-0.94085
profitMargins,-0.95135003
grossMargins,0.71025
operatingCashflow,69353000
revenueGrowth,0.491
operatingMargins,-0.95145
ebitda,-1249760000
targetLowPrice,18
recommendationKey,hold
grossProfits,740126000
freeCashflow,634273280
targetMedianPrice,25
currentPrice,24.25
earningsGrowth,
currentRatio,3.901
returnOnAssets,-0.31799
numberOfAnalystOpinions,8
targetMeanPrice,24.04
debtToEquity,12.073
returnOnEquity,-0.90319
targetHighPrice,31
totalCash,2341156096
totalDebt,249792000
totalRevenue,1328333056
totalCashPerShare,1.199
financialCurrency,USD
revenuePerShare,0.831
quickRatio,3.786
recommendationMean,3.4
exchange,NYQ
shortName,Palantir Technologies Inc.
longName,Palantir Technologies Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,PLTR
messageBoardId,finmb_43580005
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,37.758
beta3Year,
enterpriseToEbitda,-40.131
52WeekChange,0.5194236
morningStarRiskRating,
forwardEps,0.21
revenueQuarterlyGrowth,
sharesOutstanding,1866000000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,1.068
sharesShort,80176637
sharesPercentSharesOut,0.041100003
fundFamily,
lastFiscalYearEnd,1609372800
heldPercentInstitutions,0.25399
netIncomeToCommon,-1263715968
trailingEps,-0.79
lastDividendValue,
SandP52WeekChange,0.31141782
priceToBook,22.705994
heldPercentInsiders,0.1277
nextFiscalYearEnd,1672444800
yield,
mostRecentQuarter,1625011200
shortRatio,1.41
sharesShortPreviousMonthDate,1631664000
floatShares,1519334051
beta,
enterpriseValue,50154663936
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,
morningStarOverallRating,
earningsQuarterlyGrowth,
priceToSalesTrailing12Months,35.656086
dateShortInterest,1634256000
pegRatio,1.77
ytdReturn,
forwardPE,115.4762
lastCapGain,
shortPercentOfFloat,0.0475
sharesShortPriorMonth,54489052
impliedSharesOutstanding,1953120000
category,
fiveYearAverageReturn,
previousClose,26.75
regularMarketOpen,25.9
twoHundredDayAverage,24.031223
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,25.98
navPrice,
averageDailyVolume10Day,41744985
regularMarketPreviousClose,26.75
fiftyDayAverage,25.164722
trailingAnnualDividendRate,
open,25.9
toCurrency,
averageVolume10days,41744985
expireDate,
algorithm,
dividendRate,
exDividendDate,
circulatingSupply,
startDate,
regularMarketDayLow,23.95
currency,USD
regularMarketVolume,116433763
lastMarket,
maxSupply,
openInterest,
marketCap,47363158016
volumeAllCurrencies,
strikePrice,
averageVolume,48916104
dayLow,23.95
ask,0
askSize,21500
volume,116433763
fiftyTwoWeekHigh,45
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,14.4
bid,0
tradeable,False
dividendYield,
bidSize,900
dayHigh,25.98
regularMarketPrice,24.25
preMarketPrice,23.71
logo_url,https://logo.clearbit.com/palantir.com
