Key,Value
zip,55343
sector,Healthcare
longBusinessSummary,"UnitedHealth Group Incorporated operates as a diversified health care company in the United States. It operates through four segments: UnitedHealthcare, OptumHealth, OptumInsight, and OptumRx. The UnitedHealthcare segment offers consumer-oriented health benefit plans and services for national employers, public sector employers, mid-sized employers, small businesses, and individuals; health and well-being services to individuals age 50 and older, addressing their needs for preventive and acute health care services, as well as services dealing with chronic disease and other specialized issues for older individuals; Medicaid plans, children's health insurance program, and health care programs; medical and dental benefits; and hospital and clinical services. The OptumHealth segment provides access to networks of care provider specialists, health management services, care delivery, consumer engagement, and financial services. This segment serves individuals directly through care delivery systems, employers, payers, and government entities. The OptumInsight segment offers software and information products, advisory consulting arrangements, and managed services outsourcing contracts to hospital systems, physicians, health plans, governments, life sciences companies, and other organizations. The OptumRx segment provides pharmacy care services and programs, including retail network contracting, home delivery, specialty and compounding pharmacy, and purchasing and clinical, as well as develops programs in areas, such as step therapy, formulary management, drug adherence, and disease/drug therapy management. UnitedHealth Group Incorporated has partnership with the University of California, San Francisco to expand the mental health workforce in California. UnitedHealth Group Incorporated was incorporated in 1977 and is based in Minnetonka, Minnesota."
city,Minnetonka
phone,952-936-1300
state,MN
country,United States
companyOfficers,[]
website,https://www.unitedhealthgroup.com
maxAge,1
address1,UnitedHealth Group Center
industry,Healthcare Plans
address2,9900 Bren Road East
ebitdaMargins,0.09413
profitMargins,0.060100004
grossMargins,0.24219
operatingCashflow,22343000064
revenueGrowth,0.126
operatingMargins,0.08335
ebitda,27072999424
targetLowPrice,360
recommendationKey,buy
grossProfits,69652000000
freeCashflow,15666750464
targetMedianPrice,546
currentPrice,497.43
earningsGrowth,0.852
currentRatio,0.789
returnOnAssets,0.07317
numberOfAnalystOpinions,26
targetMeanPrice,528.89
debtToEquity,60.151
returnOnEquity,0.24122
targetHighPrice,576
totalCash,23907000320
totalDebt,46002999296
totalRevenue,287597002752
totalCashPerShare,25.034
financialCurrency,USD
revenuePerShare,300.834
quickRatio,0.487
recommendationMean,1.8
exchange,NYQ
shortName,UnitedHealth Group Incorporated
longName,UnitedHealth Group Incorporated
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,UNH
messageBoardId,finmb_104673
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,1.72
beta3Year,
enterpriseToEbitda,18.274
52WeekChange,0.47993398
morningStarRiskRating,
forwardEps,24.71
revenueQuarterlyGrowth,
sharesOutstanding,941851008
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,78.581
sharesShort,5332156
sharesPercentSharesOut,0.0057
fundFamily,
lastFiscalYearEnd,1640908800
heldPercentInstitutions,0.89085996
netIncomeToCommon,17284999168
trailingEps,18.08
lastDividendValue,1.45
SandP52WeekChange,0.15643954
priceToBook,6.330156
heldPercentInsiders,0.00541
nextFiscalYearEnd,1703980800
yield,
mostRecentQuarter,1640908800
shortRatio,1.62
sharesShortPreviousMonthDate,1639526400
floatShares,949900300
beta,0.87817
enterpriseValue,494736539648
priceHint,2
threeYearAverageReturn,
lastSplitDate,1117497600
lastSplitFactor,2:1
legalType,
lastDividendDate,1638489600
morningStarOverallRating,
earningsQuarterlyGrowth,0.84
priceToSalesTrailing12Months,1.6290327
dateShortInterest,1642118400
pegRatio,1.56
ytdReturn,
forwardPE,20.130716
lastCapGain,
shortPercentOfFloat,0.0057
sharesShortPriorMonth,5408983
impliedSharesOutstanding,
category,
fiveYearAverageReturn,
previousClose,493.41
regularMarketOpen,497
twoHundredDayAverage,431.91556
trailingAnnualDividendYield,0.011349588
payoutRatio,0.30969998
volume24Hr,
regularMarketDayHigh,499.33
navPrice,
averageDailyVolume10Day,3489320
regularMarketPreviousClose,493.41
fiftyDayAverage,475.316
trailingAnnualDividendRate,5.6
open,497
toCurrency,
averageVolume10days,3489320
expireDate,
algorithm,
dividendRate,5.8
exDividendDate,1638489600
circulatingSupply,
startDate,
regularMarketDayLow,496.35
currency,USD
trailingPE,27.51272
regularMarketVolume,1181272
lastMarket,
maxSupply,
openInterest,
marketCap,468504936448
volumeAllCurrencies,
strikePrice,
averageVolume,3374974
dayLow,496.35
ask,497.58
askSize,1000
volume,1181272
fiftyTwoWeekHigh,509.23
fromCurrency,
fiveYearAvgDividendYield,1.38
fiftyTwoWeekLow,320.35
bid,497.63
tradeable,False
dividendYield,0.0117999995
bidSize,800
dayHigh,499.33
regularMarketPrice,497.43
preMarketPrice,497.11
logo_url,https://logo.clearbit.com/unitedhealthgroup.com
trailingPegRatio,1.7916
